type	uri	avsender
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=648cc3c5-2c34-4ccc-8776-037b2bb53bfe	Advokatforeningen
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=e284926b-81ab-4034-b3c7-5f2970a924f1	Aksjonærforeningen
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=77fa2fa0-ee20-4855-b2bf-2880419f7bb2	Alsaker Fjordbruk AS
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=c0d40b04-68e2-45dd-9019-c4923ed037ca	Alta kommune (uten merknader)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=7a48a9a8-7681-4160-8a95-ba327494317e	Aure Høyre
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/averoy-kommune.pdf?uid=Aver%C3%B8y_kommune	Averøy kommune (PDF, 783KB)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=33b5d405-f979-469d-8053-2e44b31bcdcc	Beiarn kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=928e90e3-650b-4e85-ac59-504a8a799dd5	Bergen Næringsråd
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=fd65f1a5-a33b-4fba-a98f-240e4d7eecc4	Bindal kommune
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/bjugn-og-orland-naringsforum.pdf?uid=Bjugn_og_%C3%98rland_n%C3%A6ringsforum	Bjugn og Ørland næringsforum (PDF, 496KB)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=f3b44d15-c7ae-4eca-862e-442bce224a73	Blue Planet AS og Stiim Aqua Cluster
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=ff6125f2-09fe-4cdc-a669-3a1a1794c922	Blå horisont 2030
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=88c5702d-7e01-41af-af0c-f467d3ab8357	Bodø kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=fe7b0263-c7b0-45fd-a191-93d065f5c874	Bodøregionens Utviklingsselskap AS - BRUS
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=00aaacd4-2aa5-4537-8d9a-ff54eac3e254	Bremanger kommune
