filnavn,sti,aar,avsender,uid,kilde_type,kilde_fil,kilde_uri,antall_tegn,antall_ord
2019_advokatforeningen_no-uid_49f367d529.txt,høringer/foer-2022/2019_advokatforeningen_no-uid_49f367d529.txt,2019,Advokatforeningen,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000001_sha256_7ae38b8a0ac1bcc8af67eeda217e34547ab7e5320dae40d5136ff297cec3632b.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=648cc3c5-2c34-4ccc-8776-037b2bb53bfe,6265,880
2019_aksjonrforeningen_e284926b-81ab-4034-b3c7-5f2970a924f1.txt,høringer/foer-2022/2019_aksjonrforeningen_e284926b-81ab-4034-b3c7-5f2970a924f1.txt,2019,Aksjonærforeningen,e284926b-81ab-4034-b3c7-5f2970a924f1,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000001_sha256_a5d183e946e4eb353a10e53e3a3ee6dcd5d6f7dd1b02ea77212139514a2819e4.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=e284926b-81ab-4034-b3c7-5f2970a924f1,3838,575
2019_alsaker-fjordbruk-as_77fa2fa0-ee20-4855-b2bf-2880419f7bb2.txt,høringer/foer-2022/2019_alsaker-fjordbruk-as_77fa2fa0-ee20-4855-b2bf-2880419f7bb2.txt,2019,Alsaker Fjordbruk AS,77fa2fa0-ee20-4855-b2bf-2880419f7bb2,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000002_sha256_34f871463eca6ed3f51aac2cc8289d2a6c90a9ca09f9d2e9870b736fdb784637.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=77fa2fa0-ee20-4855-b2bf-2880419f7bb2,8388,1240
2019_alta-kommune-uten-merknader_c0d40b04-68e2-45dd-9019-c4923ed037ca.txt,høringer/foer-2022/2019_alta-kommune-uten-merknader_c0d40b04-68e2-45dd-9019-c4923ed037ca.txt,2019,Alta kommune (uten merknader),c0d40b04-68e2-45dd-9019-c4923ed037ca,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000004_sha256_16d3839d6817a9ec3dd276f4967abe88f858196cf1b90355d2e0623f9f6711e1.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=c0d40b04-68e2-45dd-9019-c4923ed037ca,624,83
2019_aure-hyre_7a48a9a8-7681-4160-8a95-ba327494317e.txt,høringer/foer-2022/2019_aure-hyre_7a48a9a8-7681-4160-8a95-ba327494317e.txt,2019,Aure Høyre,7a48a9a8-7681-4160-8a95-ba327494317e,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000003_sha256_d7bf304bd8dd8013e4375e77b1a8f7fde4c25c6f3f127de2cf55f707ef7e9f50.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=7a48a9a8-7681-4160-8a95-ba327494317e,4938,732
2019_avery-kommune-pdf-783kb_no-uid_af4084ee4a.txt,høringer/foer-2022/2019_avery-kommune-pdf-783kb_no-uid_af4084ee4a.txt,2019,"Averøy kommune (PDF, 783KB)",no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000002_sha256_a9edd03456a26711c5db26113b486c6fd85363883efede70ea4dbec3b613ed69.pdf,https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/averoy-kommune.pdf?uid=Aver%C3%B8y_kommune,11485,1720
2019_beiarn-kommune_33b5d405-f979-469d-8053-2e44b31bcdcc.txt,høringer/foer-2022/2019_beiarn-kommune_33b5d405-f979-469d-8053-2e44b31bcdcc.txt,2019,Beiarn kommune,33b5d405-f979-469d-8053-2e44b31bcdcc,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000004_sha256_dafe9789decfdf2702e50326b8604cc933cd92b93865100629e7522dcd758692.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=33b5d405-f979-469d-8053-2e44b31bcdcc,2267,317
2019_bergen-nringsrad_no-uid_d9ddd244e3.txt,høringer/foer-2022/2019_bergen-nringsrad_no-uid_d9ddd244e3.txt,2019,Bergen Næringsråd,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000005_sha256_d6809471b5176a508bca173c9120a13c9c50c549b7c8527cc046a98a173b26fc.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=928e90e3-650b-4e85-ac59-504a8a799dd5,5405,776
2019_bindal-kommune_fd65f1a5-a33b-4fba-a98f-240e4d7eecc4.txt,høringer/foer-2022/2019_bindal-kommune_fd65f1a5-a33b-4fba-a98f-240e4d7eecc4.txt,2019,Bindal kommune,fd65f1a5-a33b-4fba-a98f-240e4d7eecc4,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000007_sha256_5573b7de81149e2e99615c08f60c6f48079d3331c519ffe8372ba6369be72c60.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=fd65f1a5-a33b-4fba-a98f-240e4d7eecc4,146,22
2019_bjugn-og-rland-nringsforum-pdf-496kb_no-uid_8099d511c9.txt,høringer/foer-2022/2019_bjugn-og-rland-nringsforum-pdf-496kb_no-uid_8099d511c9.txt,2019,"Bjugn og Ørland næringsforum (PDF, 496KB)",no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000006_sha256_8abf7efdf78b50a4e759c259199ffa9b3ac66b35671dc3bee57b8d7ee6dbc1f9.pdf,https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/bjugn-og-orland-naringsforum.pdf?uid=Bjugn_og_%C3%98rland_n%C3%A6ringsforum,4807,750
